MNR,,TOOL,Lasermaker Program??????????????????,PCBA??PCBA??????,label load????????????,Fawl????????????,vision program????????????????,labelflie????????????????,WI????,,,Typecode,
R911406090,EtherCAT Bus coupler,1,20,R911176820,hardware-revision-0: std.io_ec201_a,,6,ctrlX_IO_Shipping_1ENCH_UL_UKCA_CE_25V_V01.prn,GY-CXL3-W-11_ctrlX IO_ST01.pdf,GY-CXL3-W-13_ctrlX IO_ST03.pdf,GY-CXL3-W-15_ctrlX IO_ST05.pdf,EtherCAT Bus coupler,Y
R911406096,"8Ch. Dig. Input 24V, 3ms",1,11,R911176668,,,2,ctrlX_IO_Shipping_1ENCH_UL_UKCA_CE_25V_V01.prn,GY-CXL3-W-11_ctrlX IO_ST01.pdf,GY-CXL3-W-13_ctrlX IO_ST03.pdf,GY-CXL3-W-15_ctrlX IO_ST05.pdf,"8Ch. Dig. Input 24V, 3ms",Y
R911406097,"16Ch. Dig. Input 24V, 3ms",1,11,R911176667,,,0,ctrlX_IO_Shipping_1ENCH_UL_UKCA_CE_25V_V01.prn,GY-CXL3-W-11_ctrlX IO_ST01.pdf,GY-CXL3-W-13_ctrlX IO_ST03.pdf,GY-CXL3-W-15_ctrlX IO_ST05.pdf,"16Ch. Dig. Input 24V, 3ms",Y
R911406101,8Ch. Dig. Output 24V/0.5A,1,11,R911176671,,,3,ctrlX_IO_Shipping_1ENCH_UL_UKCA_CE_25V_V01.prn,GY-CXL3-W-11_ctrlX IO_ST01.pdf,GY-CXL3-W-13_ctrlX IO_ST03.pdf,GY-CXL3-W-15_ctrlX IO_ST05.pdf,8Ch. Dig. Output 24V/0.5A,Y
R911406102,16Ch. Dig. Output 24V/0.5A,1,11,R911176670,,,0,ctrlX_IO_Shipping_1ENCH_UL_UKCA_CE_25V_V01.prn,GY-CXL3-W-11_ctrlX IO_ST01.pdf,GY-CXL3-W-13_ctrlX IO_ST03.pdf,GY-CXL3-W-15_ctrlX IO_ST05.pdf,16Ch. Dig. Output 24V/0.5A,Y
R911406122,8/8 Ch. Potential distribution 24V/GND,1,13,R911176649,,,7,ctrlX_IO_Shipping_1ENCH_UL_UKCA_CE_25V_V01.prn,GY-CXL3-W-11_ctrlX IO_ST01.pdf,GY-CXL3-W-13_ctrlX IO_ST03.pdf,GY-CXL3-W-15_ctrlX IO_ST05.pdf,8/8 Ch. Potential distribution 24V/GND,Y
R911406123,16Ch. Potential distribution 24V,1,11,R911176648,,,8,ctrlX_IO_Shipping_1ENCH_UL_UKCA_CE_25V_V01.prn,GY-CXL3-W-11_ctrlX IO_ST01.pdf,GY-CXL3-W-13_ctrlX IO_ST03.pdf,GY-CXL3-W-15_ctrlX IO_ST05.pdf,16Ch. Potential distribution 24V,Y
R911406125,16Ch. Potential distribution GND,1,11,R911176647,,,9,ctrlX_IO_Shipping_1ENCH_UL_UKCA_CE_25V_V01.prn,GY-CXL3-W-11_ctrlX IO_ST01.pdf,GY-CXL3-W-13_ctrlX IO_ST03.pdf,GY-CXL3-W-15_ctrlX IO_ST05.pdf,16Ch. Potential distribution GND,Y
R911406104,4Ch. Ana. Input +/-10V 16Bit,2,11,R911176908,hardware-revision-0: std.io_ai401_a,R911416018/FWL-XI-AI401_4_-10_+10V_-01VRS-U5301_-A,1,ctrlX_IO_Shipping_1ENCH_UL_UKCA_CE_25V_V01.prn,GY-CXL3-W-11_ctrlX IO_ST01.pdf,GY-CXL3-W-13_ctrlX IO_ST03.pdf,GY-CXL3-W-15_ctrlX IO_ST05.pdf,4Ch. Ana. Input +/-10V 16Bit,Y
R911406105,4Ch. Ana. Input 0-10V 16Bit,2,11,R911176908,hardware-revision-0: std.io_ai401_a,,1,ctrlX_IO_Shipping_1ENCH_UL_UKCA_CE_25V_V01.prn,GY-CXL3-W-11_ctrlX IO_ST01.pdf,GY-CXL3-W-13_ctrlX IO_ST03.pdf,GY-CXL3-W-15_ctrlX IO_ST05.pdf,4Ch. Ana. Input 0-10V 16Bit,Y
